review_id,product_name,review_text,rating,verified_purchase,date,sentiment
1,SmartPhone X,Great phone overall. Battery exceeds expectations. Beautiful OLED screen.,4,True,2024-01-01,positive
2,SmartPhone X,Screen quality is poor compared to competition. Battery drains quickly with basic use.,1,True,2024-01-01,negative
3,SmartPhone X,Terrible battery optimization. Screen has color accuracy issues. Overpriced.,1,True,2024-01-02,negative
4,SmartPhone X,Excellent phone! The battery life is outstanding and lasts all day. Screen quality is crystal clear.,5,True,2024-01-02,positive
5,SmartPhone X,Fantastic purchase! Long-lasting battery and stunning screen quality.,5,True,2024-01-02,positive
6,SmartPhone X,Outstanding performance and battery longevity. Screen resolution is impressive.,5,True,2024-01-03,positive
7,SmartPhone X,Great phone overall. Battery exceeds expectations. Beautiful OLED screen.,5,True,2024-01-03,positive
8,SmartPhone X,Battery life is joke. Dies by noon. Screen brightness insufficient outdoors.,2,True,2024-01-03,negative
9,SmartPhone X,Poor battery management. Constant crashes. Screen freezes frequently.,1,True,2024-01-04,negative
10,SmartPhone X,Screen quality is poor compared to competition. Battery drains quickly with basic use.,1,False,2024-01-04,negative
11,SmartPhone X,Superb build quality! The battery performance is reliable. Screen colors are vivid.,5,True,2024-01-04,positive
12,SmartPhone X,The battery life is phenomenal. Screen is perfect for reading and videos.,5,True,2024-01-05,positive
13,SmartPhone X,Highly recommend! Battery optimization is excellent. Display is sharp and responsive.,5,True,2024-01-05,positive
14,SmartPhone X,Excellent phone! The battery life is outstanding and lasts all day. Screen quality is crystal clear.,5,True,2024-01-05,positive
15,SmartPhone X,The battery life is phenomenal. Screen is perfect for reading and videos.,5,True,2024-01-06,positive
16,SmartPhone X,Not worth the price. Screen developed dead pixels after one week. Returning it.,1,True,2024-01-06,negative
17,SmartPhone X,Terrible battery optimization. Screen has color accuracy issues. Overpriced.,2,True,2024-01-06,negative
18,SmartPhone X,Battery life is joke. Dies by noon. Screen brightness insufficient outdoors.,1,True,2024-01-07,negative
19,SmartPhone X,Perfect phone for daily use. Battery life impressive. Screen is bright and clear.,5,True,2024-01-07,positive
20,SmartPhone X,Battery life is joke. Dies by noon. Screen brightness insufficient outdoors.,1,True,2024-01-07,negative
21,SmartPhone X,Superb build quality! The battery performance is reliable. Screen colors are vivid.,4,True,2024-01-08,positive
22,SmartPhone X,Exceptional device! Battery easily lasts full day with heavy use. Love the vibrant screen.,5,False,2024-01-08,positive
23,SmartPhone X,Battery life is joke. Dies by noon. Screen brightness insufficient outdoors.,1,True,2024-01-08,negative
24,SmartPhone X,Perfect phone for daily use. Battery life impressive. Screen is bright and clear.,5,True,2024-01-09,positive
25,SmartPhone X,Highly recommend! Battery optimization is excellent. Display is sharp and responsive.,5,False,2024-01-09,positive
26,SmartPhone X,Highly recommend! Battery optimization is excellent. Display is sharp and responsive.,5,True,2024-01-09,positive
27,SmartPhone X,Great value for money. Fast processor and smooth interface. Customer service was helpful.,5,False,2024-01-10,positive
